Model_Type,Modality_Setup,Modality_Detail,Combination,MAE,Binary_Accuracy,Binary_F1,Binary_Precision,Binary_Recall,Class7_Accuracy,Training_Time
nn,Trimodal,audio+video+text,nn (trimodal),0.6398126482963562,0.7977435332966428,0.8467153284671532,0.8084428514536042,0.8887915936952715,0.4810045074050225,360.455828666687
cnn,Trimodal,audio+video+text,cnn (trimodal),0.6065617799758911,0.8192074848651624,0.8604799320450202,0.8354639175257732,0.8870402802101576,0.5013951491736424,288.3878970146179
svm,Trimodal,audio+video+text,svm (trimodal),0.8390774415695751,0.6285085305448541,0.7718823927002366,0.6285085305448541,1.0,0.4144666237389998,7.601925849914551
xgboost,Trimodal,audio+video+text,xgboost (trimodal),0.8385656476020813,0.6125481563015961,0.7462148521989906,0.6341911764705882,0.9063047285464098,0.4136080704013737,3.107234477996826
nn,Bimodal,audio_video,nn (audio_video),0.838416337966919,0.6285085305448541,0.7718823927002366,0.6285085305448541,1.0,0.4136080704013737,125.33494138717651
cnn,Bimodal,audio_video,cnn (audio_video),0.803452730178833,0.6274078150798019,0.7125265392781316,0.6916735366859027,0.7346760070052539,0.4232667954496673,189.2354919910431
svm,Bimodal,audio_video,svm (audio_video),0.840634615716967,0.6290588882773803,0.7718348002708192,0.6291390728476821,0.9982486865148862,0.4138227087357802,8.627164602279663
xgboost,Bimodal,audio_video,xgboost (audio_video),0.8419822454452515,0.6298844248761695,0.7713751487336393,0.6304529035843289,0.9934325744308232,0.4125348787293411,3.543161392211914
nn,Bimodal,audio_text,nn (audio_text),0.6554855704307556,0.8046230049532196,0.8496399830580262,0.822805578342904,0.8782837127845884,0.4713457823567289,201.0411639213562
cnn,Bimodal,audio_text,cnn (audio_text),0.6166931390762329,0.8087506879471656,0.8510820655667453,0.8334032731850608,0.8695271453590193,0.4945267224726336,264.58339834213257
svm,Bimodal,audio_text,svm (audio_text),0.8266261702858345,0.6235553109521189,0.7600841809891267,0.6339964891749561,0.9487740805604205,0.4163983687486585,8.416002988815308
xgboost,Bimodal,audio_text,xgboost (audio_text),0.8457819223403931,0.5982388552559164,0.7340619307832422,0.6285090455396132,0.8822241681260946,0.4116763253917149,3.458001136779785
nn,Bimodal,video_text,nn (video_text),0.6585525274276733,0.7991194276279582,0.8464450988641145,0.8145748987854251,0.8809106830122592,0.4698433140158832,167.63352251052856
cnn,Bimodal,video_text,cnn (video_text),0.6069707274436951,0.8164556962025317,0.8559084035428818,0.844776119402985,0.867338003502627,0.4996780424983902,209.20994186401367
svm,Bimodal,video_text,svm (video_text),0.8312521848414605,0.6285085305448541,0.7718823927002366,0.6285085305448541,1.0,0.4108177720540888,8.700050830841064
xgboost,Bimodal,video_text,xgboost (video_text),0.845330536365509,0.5910842047330765,0.7294246176256373,0.6243765586034913,0.876970227670753,0.4136080704013737,3.4389827251434326
nn,Unimodal,acoustic,nn (acoustic),0.8384138345718384,0.6285085305448541,0.7718823927002366,0.6285085305448541,1.0,0.4136080704013737,138.12368321418762
cnn,Unimodal,acoustic,cnn (acoustic),0.8184123039245605,0.6485965877820583,0.7762397056246715,0.6470931931054631,0.9697898423817864,0.4153251770766258,96.02174711227416
svm,Unimodal,acoustic,svm (acoustic),0.8307316098188214,0.6326362135388002,0.7730749617542071,0.6318421783828841,0.9956217162872154,0.4129641553981541,12.985575199127195
xgboost,Unimodal,acoustic,xgboost (acoustic),0.8448721766471863,0.5979636763896533,0.7120047309284447,0.6475439225528863,0.7907180385288967,0.4084567503756171,3.3092970848083496
nn,Unimodal,visual,nn (visual),0.8384131789207458,0.6285085305448541,0.7718823927002366,0.6285085305448541,1.0,0.4136080704013737,176.3159728050232
cnn,Unimodal,visual,cnn (visual),0.8037711381912231,0.6436433681893231,0.7483971245385661,0.6727209221096752,0.8432574430823118,0.424769263790513,127.05826926231384
svm,Unimodal,visual,svm (visual),0.8225333808167822,0.6180517336268575,0.7519656897784132,0.6352657004830918,0.9211908931698776,0.4133934320669671,12.655938148498535
xgboost,Unimodal,visual,xgboost (visual),0.8438701033592224,0.5985140341221794,0.6941940892894571,0.6658624849215923,0.7250437828371279,0.4067396437003648,3.248246669769287
nn,Unimodal,text,nn (text),0.6579261422157288,0.7971931755641167,0.8377009469279895,0.8427115640230395,0.8327495621716288,0.4691993990126636,159.577782869339
cnn,Unimodal,text,cnn (text),0.6625977754592896,0.8029719317556412,0.8468776732249786,0.8277591973244147,0.8669001751313485,0.4623309723116549,151.09727454185486
svm,Unimodal,text,svm (text),0.7512935816336525,0.7493120528343423,0.8070324083880533,0.7816988100123102,0.8340630472854641,0.4294913071474565,13.352785348892212
xgboost,Unimodal,text,xgboost (text),0.7541658878326416,0.7396807925151349,0.8021748222501046,0.7678142514011209,0.839754816112084,0.4155398154110324,3.785068035125733
