Model_Type,Modality_Setup,Modality_Detail,Combination,MAE,Binary_Accuracy,Binary_F1,Binary_Precision,Binary_Recall,Class7_Accuracy,Training_Time
nn,Trimodal,audio+video+text,nn (trimodal),0.6398126482963562,0.7977435332966428,0.8467153284671532,0.8084428514536042,0.8887915936952715,0.4810045074050225,360.455828666687
cnn,Trimodal,audio+video+text,cnn (trimodal),0.6065617799758911,0.8192074848651624,0.8604799320450202,0.8354639175257732,0.8870402802101576,0.5013951491736424,288.3878970146179
nn,Bimodal,audio_video,nn (audio_video),0.838416337966919,0.6285085305448541,0.7718823927002366,0.6285085305448541,1.0,0.4136080704013737,125.33494138717651
cnn,Bimodal,audio_video,cnn (audio_video),0.803452730178833,0.6274078150798019,0.7125265392781316,0.6916735366859027,0.7346760070052539,0.4232667954496673,189.2354919910431
nn,Bimodal,audio_text,nn (audio_text),0.6554855704307556,0.8046230049532196,0.8496399830580262,0.822805578342904,0.8782837127845884,0.4713457823567289,201.0411639213562
cnn,Bimodal,audio_text,cnn (audio_text),0.6166931390762329,0.8087506879471656,0.8510820655667453,0.8334032731850608,0.8695271453590193,0.4945267224726336,264.58339834213257
nn,Bimodal,video_text,nn (video_text),0.6585525274276733,0.7991194276279582,0.8464450988641145,0.8145748987854251,0.8809106830122592,0.4698433140158832,167.63352251052856
cnn,Bimodal,video_text,cnn (video_text),0.6069707274436951,0.8164556962025317,0.8559084035428818,0.844776119402985,0.867338003502627,0.4996780424983902,209.20994186401367
nn,Unimodal,acoustic,nn (acoustic),0.8384138345718384,0.6285085305448541,0.7718823927002366,0.6285085305448541,1.0,0.4136080704013737,138.12368321418762
cnn,Unimodal,acoustic,cnn (acoustic),0.8184123039245605,0.6485965877820583,0.7762397056246715,0.6470931931054631,0.9697898423817864,0.4153251770766258,96.02174711227416
nn,Unimodal,visual,nn (visual),0.8384131789207458,0.6285085305448541,0.7718823927002366,0.6285085305448541,1.0,0.4136080704013737,176.3159728050232
cnn,Unimodal,visual,cnn (visual),0.8037711381912231,0.6436433681893231,0.7483971245385661,0.6727209221096752,0.8432574430823118,0.424769263790513,127.05826926231384
nn,Unimodal,text,nn (text),0.6579261422157288,0.7971931755641167,0.8377009469279895,0.8427115640230395,0.8327495621716288,0.4691993990126636,159.577782869339
cnn,Unimodal,text,cnn (text),0.6625977754592896,0.8029719317556412,0.8468776732249786,0.8277591973244147,0.8669001751313485,0.4623309723116549,151.09727454185486
